summary,topic,title,date,translated_text
"Transport in a cattle carriage, smell of meat in the air, selection with Dr Mengele: Holocaust survivor Lisa Miková remembers the Auschwitz-Birkenau extermination camp.",Politics,Auschwitz: Memories of a Holocaust Survivor,00/01/2010,"Transport in a cattle carriage, smell of meat in the air, selection with Dr Mengele: Holocaust survivor Lisa Miková remembers the Auschwitz-Birkenau extermination camp. Lisa Miková was born in 1922 in Prague. In her largely secular Jewish family, German and Czech were spoken. In 1942, she was deported to the Theresienstadt concentration camp. From there, her parents were first deported, then, in the autumn of 1944, her husband František to the Auschwitz extermination camp. Lisa Miková volunteered shortly afterwards."
"Marble zebra stripes, pompous buildings: Sindelfingen was once - thanks also to Daimler - the richest municipality in Europe. Precisely because of this, the city is now cramped.",Politics,Municipalities in Need (3): Sindelfingen - Beyond Golden Times,00/01/2010,"Marble zebra stripes, pompous buildings: Sindelfingen was - thanks also to Daimler - once the richest municipality in Europe. Precisely because of this, the city is now cramped. The coffers of German cities are empty - with some bizarre ideas they want to fight off the crisis. sueddeutsche.de presents in a series special municipalities and creative savings plans. Open detailed view Protest in Sindelfingen: Many citizens do not want to accept the planned closure of the Klostergartenschule. (Photo: Foto: buergerentscheid-"
Oskar Lafontaine resigns as party chairman of the Left - and his colleagues argue who should bury him. sueddeutsche.de presents the currently most promising candidates for leadership positions. With a vote.,Politics,Staff debate on the left - who is coming to Lafontaine?,00/01/2010,"This Monday, when the country’s left-wing leaders discuss the successors of the current leaders Lothar Bisky and Oskar Lafontaine, as well as the Federal Executive Director Dietmar Bartsch, it is not only a question of who should lead the party. It is also a question of the future orientation and strength of a party that was mainly held together by Lafontaine. Five years ago, he finally succeeded in forming a party from the East German PDS and the West German WASG."
"The roots of poverty lie in the past. Haiti is still paying for its liberation 200 years ago. Even then, the world’s major powers did not take the island state seriously.",Politics,History of Haiti - Napoleon's disgrace,00/01/2010,"The portrait of 1791 shows Haiti’s national hero François-Dominique Toussaint L’Ouverture. He was one of the leaders of the revolution in Haiti and author of the first constitution. The roots of misery lie in the past. Haiti is still paying for its liberation 200 years ago. Even then, the world’s leaders did not take the island state seriously. Last weekend, the British architect and founder of the organization Architecture for Humanity sent a breathless, desperate email to his friends and supporters."
Black-yellow is not yet the dream coalition that the participants had hoped for. Which ministers from Merkel’s government team are still doing good work? And which are the wrong people? Vote against!,Politics,Black-and-yellow cabinet - Merkel's team in the test,00/01/2010,"New heads and old acquaintances: Angela Merkel’s new government team had some surprises in store. Meanwhile, the ministers have found themselves in their new job – some with more, others with less success. CANCELLER: Angela Merkel (55, CDU) Angela Merkel is now where she wanted to be in 2005: she is the chancellor of a black-yellow coalition. However, she is also one of those in the Union who have learned to appreciate the great coalition with the SPD in the past four years. In the end, it was speculated that she would have"
Soon the party leaders will meet for the crisis summit. sueddeutsche.de shows the biggest conflicts - and possible solutions.,Politics,Black-yellow coalition crash - The five thickest chunks,00/01/2010,"It is crunching in the black-yellow coalition. Although the coalition agreement was preceded by intensive negotiations, although the parties have now had three months to get together. It is crunching so much that the party leaders of the CDU, CSU and FDP want to meet in mid-January in order to get the engine running again. An overview of the five biggest conflicts: tax cuts The conflict: around 24 billion euros per year the citizens are to be relieved. So it says in the coalition agreement. Late"
"Are German politicians available for sale? The dispute over party donations has been stirred up, the Finck affair is burdening the FDP. But the hotel entrepreneur is not the only one who is putting a lot of money into politics. An overview in pictures.",Economy of the United Kingdom,"Controversial party donations - Germany, your donors",00/01/2010,"Are German politicians available for sale? The debate about party donations is in full swing - triggered by the donation of the hotel entrepreneur August Baron von Finck (here with his wife Francine), who had transferred a total of 1.1 million euros to the FDP between 2008 and 2009. And who was able to rejoice after the election that the black-and-yellow government lowered the VAT rate on hotel stays. The Greens now demand to limit party donations. The Left Party wants to ban them altogether. However, both parties see"
"The A400M is on the verge of collapse - again. In London, the buyer states are discussing whether to meet manufacturer Airbus. Will the project end in a fiasco? In pictures.",Economy of the United Kingdom,"Airbus: A400M glider - gliding, bad luck and embarrassment",00/01/2010,"The A400M project is at a standstill - once again. The manufacturer Airbus wants to see money from the buyers, otherwise - according to the threat - the military aircraft will be abandoned. Now the secretaries of state of the buyer states meet to discuss their further action. Behind all parties lies a long struggle for money, power and technology. The story of a glider. 1991 In the beginning there is a problem - and that means the Transall C-160 (photo)."
The world leader plays without Germany: Only four German companies have made it into the top 100 of the most valuable companies. Asian companies are the winners. An overview in pictures.,Economy of the United Kingdom,The most valuable companies in the world - Germany falls,00/01/2010,"The world leader plays without Germany: Only four German companies have made it into the top 100 of the most valuable companies. Asian companies are the winners. The auditors of Ernst & Young have determined the most expensive companies in the world: In the top 100 there are only four German companies. Last year there were eight companies. In other countries, the recovery of the stock markets has been stronger, it says in the study. The weak performance of the German companies surprises even the publishers."
The hope of finding survivors fades with each passing day - but the search does not stop. And sometimes small miracles happen in destroyed Haiti.,panorama,Haiti after the quake - miracles in the midst of disaster,00/01/2010,"In aid for the earthquake victims in Haiti, the initial problems have been overcome, according to UN Secretary-General Ban Ki Moon. ""I know there were some delays in the first days, but we have now built up a very effective system to avoid bottlenecks,"" Ban said in New York after a service for the tens of thousands of dead in Haiti. Haitians are waiting for help in the destroyed city of Leogane outside the aid organizations. ""The Haitians are not violent."
